"WHO region","Year","Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)"
"Eastern Mediterranean"," 1990","74.3 [72.9-75.9]"," 42.6","100.3 [98.3-102.9]"
"Western Pacific"," 2015","11.3 [10.1-12.7]"," 6.7","13.5 [12.2-15.3]"
"Western Pacific"," 2014","11.8 [10.8-13.1]"," 7.1","14.2 [13.1-15.8]"
"Western Pacific"," 2013","12.6 [11.7-13.6]"," 7.5","15.1 [14.1-16.4]"
"Western Pacific"," 2012","13.4 [12.6-14.2]"," 8.0","16.1 [15.2-17.1]"
"Western Pacific"," 2011","14.3 [13.6-15.0]"," 8.5","17.1 [16.3-18.1]"
"Western Pacific"," 2010","15.1 [14.5-15.8]"," 9.1","18.2 [17.4-19.1]"
"Western Pacific"," 2009","16.1 [15.4-16.8]"," 9.8","19.3 [18.5-20.2]"
"Western Pacific"," 2008","17.0 [16.4-17.8]"," 10.5","20.6 [19.7-21.5]"
"Western Pacific"," 2007","18.2 [17.4-18.9]"," 11.4","21.9 [20.9-22.9]"
"Western Pacific"," 2006","19.4 [18.5-20.2]"," 12.4","23.4 [22.4-24.4]"
"Western Pacific"," 2005","20.6 [19.8-21.5]"," 13.4","25.1 [24.0-26.2]"
"Western Pacific"," 2004","22.1 [21.2-23.0]"," 14.5","26.9 [25.8-28.2]"
"Western Pacific"," 2003","23.7 [22.7-24.7]"," 15.7","29.0 [27.8-30.3]"
"Western Pacific"," 2002","25.3 [24.3-26.4]"," 16.9","31.2 [29.9-32.6]"
"Western Pacific"," 2001","26.9 [25.9-28.0]"," 18.0","33.3 [32.0-34.9]"
"Western Pacific"," 2000","28.4 [27.3-29.5]"," 18.8","35.4 [33.9-37.1]"
"Western Pacific"," 1999","29.6 [28.6-30.9]"," 19.4","37.3 [35.8-39.0]"
"Western Pacific"," 1998","30.8 [29.7-32.0]"," 20.1","39.0 [37.4-40.7]"
"Western Pacific"," 1997","31.8 [30.6-33.0]"," 20.8","40.5 [38.9-42.4]"
"Western Pacific"," 1996","32.9 [31.7-34.2]"," 21.8","42.2 [40.4-44.1]"
"Western Pacific"," 1995","34.2 [32.9-35.6]"," 22.9","44.0 [42.1-46.1]"
"Western Pacific"," 1994","35.7 [34.3-37.2]"," 24.2","46.0 [43.9-48.3]"
"Western Pacific"," 1993","37.3 [35.6-39.0]"," 25.5","48.1 [45.7-50.7]"
"Western Pacific"," 1992","38.7 [36.8-40.7]"," 26.5","49.9 [47.2-52.9]"
"Western Pacific"," 1991","39.6 [37.5-42.0]"," 27.1","51.2 [48.1-54.7]"
"Western Pacific"," 1990","40.2 [37.9-43.0]"," 27.3","52.0 [48.7-56.0]"
"Global"," 2015","31.7 [30.6-33.6]"," 19.2","42.5 [40.9-45.6]"
"Global"," 2014","32.6 [31.6-34.2]"," 19.7","43.9 [42.4-46.7]"
"Global"," 2013","33.7 [32.8-35.1]"," 20.3","45.6 [44.1-48.0]"
"Global"," 2012","34.9 [34.0-36.1]"," 21.0","47.4 [46.1-49.6]"
"Global"," 2011","36.2 [35.4-37.3]"," 21.6","49.4 [48.2-51.3]"
"Global"," 2010","37.5 [36.8-38.5]"," 22.3","51.7 [50.5-53.4]"
"Global"," 2009","38.7 [38.1-39.6]"," 22.9","53.5 [52.4-55.0]"
"Global"," 2008","40.1 [39.4-40.9]"," 23.5","55.8 [54.8-57.2]"
"Global"," 2007","41.4 [40.8-42.1]"," 24.2","57.8 [56.8-59.1]"
"Global"," 2006","42.8 [42.2-43.5]"," 24.9","60.1 [59.2-61.3]"
"Global"," 2005","44.3 [43.7-45.0]"," 25.7","62.6 [61.7-63.8]"
"Global"," 2004","46.0 [45.4-46.7]"," 26.6","65.5 [64.5-66.7]"
"Global"," 2003","47.7 [47.1-48.4]"," 27.6","67.9 [67.0-69.1]"
"Global"," 2002","49.5 [49.0-50.2]"," 28.6","70.7 [69.7-71.8]"
"Global"," 2001","51.4 [50.8-52.1]"," 29.6","73.4 [72.4-74.6]"
"Global"," 2000","53.1 [52.5-53.9]"," 30.5","75.9 [74.9-77.1]"
"Global"," 1999","54.8 [54.2-55.5]"," 31.4","78.3 [77.3-79.5]"
"Global"," 1998","56.4 [55.8-57.1]"," 32.2","80.6 [79.6-81.8]"
"Global"," 1997","57.8 [57.1-58.6]"," 33.0","82.5 [81.4-83.8]"
"Global"," 1996","59.0 [58.3-59.8]"," 33.7","84.0 [83.0-85.3]"
"Global"," 1995","60.0 [59.3-60.7]"," 34.3","85.3 [84.2-86.6]"
"Global"," 1994","60.6 [60.0-61.4]"," 34.8","86.5 [85.4-87.8]"
"Global"," 1993","61.1 [60.5-61.9]"," 35.2","87.3 [86.2-88.6]"
"Global"," 1992","61.6 [60.9-62.5]"," 35.5","88.2 [87.0-89.5]"
"Global"," 1991","62.1 [61.3-63.0]"," 35.9","89.2 [88.0-90.7]"
"Global"," 1990","62.8 [62.0-63.8]"," 36.2","90.6 [89.3-92.2]"
